,country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
61,East Asia & Pacific,EAS,694681.0,712100.0,976767.0,1013141.0,930793.0,933113.0,891211.0,870911.0,839599.0,926669.0,849553.0,792516.0,785154.0,708212.0,711496.0,728234.0,806637.0,726549.0,742468.0,977491.0,988066.0,989763.0,990937.0,1032025.0,1045206.0,1018526.0,1066336.0
62,Europe & Central Asia (excluding high income),ECA,180016.0,241304.0,1507546.0,1726204.0,1813631.0,1857056.0,2403654.0,2283549.0,2036204.0,1871542.0,1496648.0,1393050.0,1797150.0,1604556.0,1442254.0,1161173.0,1139583.0,785852.0,805904.0,731547.0,701821.0,664143.0,646839.0,334563.0,542168.0,598739.0,499596.0
63,Europe & Central Asia,ECS,217570.0,272188.0,1529462.0,1778178.0,1875046.0,1895785.0,2429552.0,2303118.0,2048277.0,1882131.0,1505321.0,1402154.0,1833432.0,1638730.0,1467649.0,1195146.0,1167145.0,796241.0,814014.0,738923.0,708335.0,670596.0,652981.0,340265.0,548091.0,604649.0,506692.0
64,Ecuador,ECU,3.0,27.0,40.0,47.0,174.0,206.0,221.0,217.0,512.0,496.0,671.0,653.0,822.0,730.0,727.0,775.0,887.0,1332.0,1066.0,1027.0,852.0,909.0,844.0,707.0,804.0,1009.0,1021.0
65,"Egypt, Arab Rep.",EGY,48.0,97.0,209.0,258.0,502.0,872.0,1202.0,1722.0,2612.0,3491.0,3953.0,4678.0,6443.0,5735.0,5376.0,6291.0,7613.0,6799.0,6780.0,6990.0,6913.0,7936.0,10020.0,12810.0,15903.0,17926.0,19742.0
66,Euro area,EMU,32.0,17.0,78.0,28551.0,16223.0,14473.0,8800.0,8703.0,6780.0,7053.0,6254.0,3606.0,8789.0,8617.0,7216.0,6959.0,8536.0,2429.0,2494.0,2502.0,2272.0,2417.0,2574.0,1859.0,1807.0,1690.0,1696.0
67,Eritrea,ERI,43.0,500633.0,503200.0,427213.0,422433.0,286712.0,332225.0,319077.0,346781.0,347138.0,376851.0,333229.0,318176.0,124121.0,131131.0,144066.0,193745.0,208748.0,186398.0,209168.0,222460.0,251954.0,285371.0,308236.0,363092.0,407449.0,459390.0
68,Spain,ESP,,,,,42.0,36.0,218.0,215.0,60.0,53.0,80.0,48.0,58.0,53.0,49.0,49.0,2444.0,41.0,27.0,34.0,42.0,43.0,52.0,56.0,60.0,59.0,29.0
69,Estonia,EST,,2.0,59.0,95.0,297.0,351.0,1310.0,1266.0,792.0,633.0,455.0,479.0,1060.0,1027.0,855.0,743.0,626.0,262.0,248.0,248.0,240.0,224.0,456.0,352.0,339.0,318.0,298.0
70,Ethiopia,ETH,1345928.0,251241.0,313129.0,251828.0,226436.0,100987.0,96270.0,84401.0,70680.0,71055.0,66410.0,58997.0,61240.0,62677.0,63150.0,65461.0,74026.0,59858.0,63878.0,62889.0,68848.0,70610.0,74968.0,77122.0,86870.0,85839.0,83894.0
71,European Union,EUU,90759.0,60797.0,218587.0,230389.0,164633.0,305418.0,351079.0,380822.0,364129.0,375439.0,353554.0,307498.0,322708.0,275259.0,248973.0,168834.0,131946.0,119385.0,112876.0,90931.0,78832.0,74820.0,73665.0,59633.0,49570.0,42326.0,35291.0
72,Fragile and conflict affected situations,FCS,10920158.0,11692148.0,10465961.0,9666958.0,7607366.0,6971939.0,7035332.0,6586373.0,6413949.0,6524775.0,7435656.0,7599480.0,6380325.0,5775781.0,6026973.0,5569082.0,6688490.0,8251558.0,7501821.0,7435705.0,7665730.0,7598898.0,7834132.0,9426718.0,11563862.0,12968500.0,14270292.0
73,Finland,FIN,,,,,,1.0,1.0,2.0,6.0,6.0,5.0,2.0,9.0,7.0,3.0,5.0,6.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,
74,Fiji,FJI,1.0,1.0,19.0,89.0,156.0,222.0,305.0,326.0,301.0,328.0,401.0,731.0,1072.0,1087.0,1281.0,1379.0,1685.0,1828.0,1868.0,1892.0,1851.0,1579.0,1317.0,1112.0,924.0,883.0,791.0
75,France,FRA,,,,,20.0,15.0,44.0,61.0,64.0,63.0,78.0,44.0,90.0,110.0,110.0,286.0,82.0,101.0,101.0,87.0,92.0,99.0,100.0,98.0,93.0,94.0,45.0
78,Gabon,GAB,,,17.0,18.0,22.0,25.0,24.0,19.0,28.0,26.0,26.0,27.0,37.0,39.0,53.0,81.0,95.0,116.0,129.0,144.0,165.0,173.0,183.0,176.0,172.0,177.0,152.0
79,United Kingdom,GBR,1.0,1.0,1.0,2.0,108.0,77.0,73.0,79.0,92.0,106.0,113.0,109.0,164.0,149.0,144.0,135.0,174.0,201.0,185.0,156.0,153.0,150.0,153.0,142.0,141.0,131.0,78.0
80,Georgia,GEO,,,,6012.0,5117.0,308.0,48489.0,47164.0,35669.0,29878.0,21821.0,17498.0,16975.0,12497.0,6633.0,7301.0,6340.0,11810.0,12598.0,15020.0,10640.0,10112.0,9261.0,6778.0,6681.0,6493.0,6365.0
81,Ghana,GHA,4691.0,4701.0,4776.0,4473.0,14289.0,13592.0,15095.0,14775.0,13633.0,13293.0,14775.0,14556.0,15686.0,15879.0,14767.0,18433.0,9960.0,5063.0,13242.0,14893.0,20203.0,20361.0,24298.0,21078.0,22145.0,22978.0,15507.0
82,Gibraltar,GIB,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,
83,Guinea,GIN,,2.0,19.0,31.0,106.0,441.0,523.0,648.0,924.0,1151.0,1497.0,2019.0,3418.0,3871.0,4782.0,5820.0,6840.0,8278.0,9495.0,10920.0,11985.0,13161.0,14061.0,14561.0,15252.0,17005.0,17526.0
84,"Gambia, The",GMB,4.0,15.0,24.0,26.0,30.0,161.0,310.0,421.0,570.0,677.0,750.0,734.0,861.0,746.0,684.0,1683.0,1254.0,1267.0,1352.0,1973.0,2242.0,2583.0,3076.0,3397.0,5136.0,8492.0,11569.0
85,Guinea-Bissau,GNB,5003.0,5006.0,5008.0,5011.0,5015.0,830.0,856.0,868.0,8887.0,3185.0,886.0,927.0,986.0,975.0,1018.0,1050.0,1004.0,1028.0,1065.0,1109.0,1127.0,1123.0,1180.0,1223.0,1307.0,1471.0,1635.0
86,Equatorial Guinea,GNQ,,60.0,114.0,214.0,342.0,343.0,397.0,473.0,420.0,429.0,509.0,529.0,552.0,591.0,552.0,477.0,461.0,407.0,384.0,344.0,305.0,258.0,228.0,200.0,174.0,154.0,126.0
87,Greece,GRC,16.0,6.0,1.0,1.0,94.0,222.0,250.0,178.0,174.0,164.0,125.0,97.0,301.0,270.0,224.0,331.0,91.0,92.0,67.0,62.0,51.0,56.0,51.0,91.0,113.0,112.0,101.0
88,Grenada,GRD,4.0,4.0,1.0,,3.0,6.0,11.0,12.0,20.0,36.0,24.0,53.0,73.0,77.0,99.0,152.0,202.0,297.0,312.0,333.0,345.0,323.0,316.0,330.0,324.0,270.0,100.0
90,Guatemala,GTM,47988.0,52587.0,53941.0,50267.0,49610.0,42899.0,40342.0,37508.0,32747.0,28082.0,20711.0,16867.0,13888.0,6696.0,4376.0,3379.0,6496.0,6161.0,5934.0,5768.0,5679.0,6088.0,6388.0,6615.0,7483.0,10284.0,12534.0
92,Guyana,GUY,2.0,1.0,2.0,4.0,71.0,62.0,55.0,38.0,41.0,49.0,36.0,36.0,49.0,78.0,194.0,406.0,537.0,677.0,708.0,727.0,749.0,771.0,801.0,800.0,700.0,511.0,269.0
93,High income,HIC,53106.0,45707.0,36633.0,67732.0,80459.0,56215.0,41724.0,32002.0,21615.0,14299.0,11283.0,11543.0,40418.0,38247.0,29096.0,37675.0,34493.0,20065.0,16910.0,16087.0,15919.0,17240.0,18047.0,15874.0,16495.0,16114.0,12185.0
94,"Hong Kong SAR, China",HKG,,,2.0,2.0,261.0,205.0,105.0,50.0,42.0,20.0,13.0,7.0,5.0,9.0,8.0,,10.0,11.0,11.0,12.0,17.0,15.0,19.0,25.0,25.0,33.0,5.0
95,Honduras,HND,18.0,21.0,41.0,448.0,1214.0,1219.0,1259.0,1246.0,1101.0,1070.0,903.0,781.0,673.0,604.0,484.0,535.0,1035.0,1236.0,1116.0,1166.0,1302.0,1966.0,2613.0,3300.0,4159.0,6851.0,10479.0
96,Heavily indebted poor countries (HIPC),HPC,11718367.0,11131022.0,9715002.0,9404615.0,9204934.0,8084004.0,6803655.0,5976490.0,5785370.0,5885135.0,6925266.0,6804592.0,5578968.0,5094361.0,5379960.0,5022784.0,4931689.0,5608025.0,5273912.0,5390666.0,5709872.0,5893051.0,6008109.0,6117562.0,6369827.0,6953723.0,6850296.0
97,Croatia,HRV,,,168571.0,151688.0,76256.0,245572.0,310088.0,349307.0,338089.0,353725.0,335199.0,290279.0,274818.0,230189.0,215475.0,119148.0,93767.0,100423.0,97012.0,76478.0,65861.0,62649.0,62606.0,49756.0,40122.0,33451.0,26211.0
98,Haiti,HTI,2092.0,1858.0,2486.0,3866.0,9803.0,13925.0,15118.0,15481.0,13538.0,8766.0,7561.0,7248.0,7718.0,7547.0,9208.0,13542.0,20837.0,22280.0,23066.0,24116.0,25892.0,33661.0,38568.0,38659.0,37162.0,34774.0,29661.0
99,Hungary,HUN,5767.0,4733.0,3993.0,5016.0,4471.0,2348.0,3083.0,2669.0,1242.0,800.0,518.0,953.0,3517.0,3395.0,2749.0,3519.0,3118.0,3386.0,1614.0,1537.0,1438.0,1238.0,1087.0,1220.0,1267.0,1443.0,2904.0
100,IBRD only,IBD,2661855.0,2942694.0,4096180.0,3738825.0,3842892.0,3777197.0,4140530.0,4012787.0,3818771.0,3638716.0,3229450.0,3167729.0,3555469.0,3123241.0,2784881.0,2454310.0,3726489.0,4631165.0,4074901.0,3892477.0,3747854.0,3451429.0,2646586.0,1945492.0,2111774.0,2058630.0,2001242.0
